場所,評価,レビュー数
横浜中華街,4.0,38725
横浜赤レンガ倉庫,4.1,33472
横浜ランドマークタワー,4.2,25073
山下公園,4.3,20791
横浜高島屋,3.9,19018
アメ横,4.1,18730
横浜八景島シーパラダイス,4.2,15320
横浜ワールドポーターズ,3.9,14243
カップヌードルミュージアム横浜 (安藤百福発明記念館),4.2,14151
マークイズみなとみらい,3.9,13044
ららぽーと横浜,3.9,12266
クイーンズスクエア横浜,3.9,11990
新横浜ラーメン博物館,4.0,11891
ジョイナス,3.7,10087
横浜公園,4.2,9633
横浜スタジアム,4.3,9315
横浜コスモワールド,4.1,8609
恵比寿ガーデンプレイスタワー,4.0,8087
横浜ベイクォーター,3.9,7922
TRESSA YOKOHAMA,3.9,7870
ズーラシア,4.3,7870
ランドマークプラザ,4.0,7264
横浜アンパンマンこどもミュージアム,4.0,7181
ガンダムファクトリーヨコハマ,4.5,7114
ヨドバシカメラ マルチメディア横浜,4.0,6703
日産スタジアム,4.1,6626
三井アウトレットパーク横浜ベイサイド,3.8,6511
コレット・マーレ,3.7,6219
三渓園,4.3,6218
日産グローバル本社ギャラリー,4.3,6100
野毛山動物園,4.3,6035
横浜ポルタ,3.7,6015
パシフィコ横浜,3.9,5978
スカイビル,3.7,5790
吉村家,4.1,5526
横浜ベイシェラトンホテル＆タワーズ,4.1,5417
キュービックプラザ,3.7,5222
ノースポートモール,3.8,5130
恵比寿ガーデンプレイス,4.0,5095
横浜ロイヤルパークホテル,4.4,5071
こどもの国,4.3,4861
インターコンチネンタル横浜グランド,4.3,4819
モアーズ横浜,3.6,4701
横浜ビブレ,3.7,4688
横浜ベイホテル東急,4.4,4572
APAホテル＆リゾート横浜ベイタワー,4.2,4564
新横浜プリンスホテル,4.0,4253
たまプラーザテラス,3.9,4167
東急スクエア,3.8,4129
横浜ハンマーヘッド,4.0,4066
ホテルニューグランド,4.4,3997
RAKU SPA鶴見,4.0,3963
マリンパーク,4.1,3948
マリン＆ウォーク横浜,3.9,3932
港北TOKYU S.C.,3.7,3927
万葉倶楽部,3.9,3818
港の見える丘公園,4.2,3724
新横浜公園,4.1,3524
新横浜プリンスペペ,3.7,3461
モザイクモール港北,3.8,3448
MEGAドン・キホーテみなと山下総本店,3.9,3436
臨港パーク,4.2,3416
象の鼻パーク,4.1,3365
戸塚なモール,3.5,3322
丸井シティ横浜,3.7,3160
APiTA長津田,3.8,3022
横浜橋商店街,3.9,2884
ローズホテル横浜,3.9,2853
根岸森林公園,4.4,2834
BRANCH横浜南部市場,4.0,2819
港南台バード,3.7,2701
横浜マリンタワー,4.0,2630
イオン金沢八景,3.5,2621
桜木町ピオシティ,3.7,2582
三ツ池公園,4.1,2568
横浜駅,3.8,2531
三ツ沢公園,4.0,2482
東戸塚オーロラシティ,3.7,2470
總持寺,4.3,2465
ルミネ横浜,3.8,2464
グランドモールパーク,3.9,2457
八景島,4.3,2434
MEGAドン・キホーテ（新横浜店）,3.6,2376
モディ戸塚,3.6,2351
すしろ新横浜,3.6,2322
最高神館,4.2,2316
横浜桜木町ワシントンホテル,3.9,2243
すしろ東神奈川店,3.7,2216
ハングリータイガー,4.3,2208
青葉台東急スクエア,3.8,2205
スカイガーデン,4.5,2145
日本丸記念公園,4.2,2139
すずきや,4.4,2135
鹿島森公園,4.1,2123
コスモクロック21,4.4,2106
赤レンガ倉庫1号館,4.0,2088
TRESSA YOKOHAMA南棟,3.9,2054
勝烈庵馬車道本店,4.2,2036
ルララ港北,3.6,2009
マクドナルド横浜西口五番街,3.4,1996
アソビル,3.7,1991
子供の自然公園 (大池公園),4.2,1976
金沢動物園,4.2,1968
岸根公園,4.1,1946
満珍楼,4.3,1932
ラーメン二郎 横浜関内店,4.2,1924
CIAL鶴見,3.6,1919
センターグリル,4.1,1908
浜銀宇宙科学センター,4.2,1888
角平つけ麺そば,4.2,1885
mioka,3.6,1830
回し寿司KATSU,4.0,1819
FOLEO,3.6,1814
アミューズメントパーク ウェアハウス川崎店,4.3,1806
車天鬼二合店,4.2,1796
Ivy Place,4.2,1793
Saclass戸塚,3.5,1760
開港記念会館,4.0,1759
港の見える丘公園展望台,4.3,1757
Ito-Yokado LaLaport Yokohama,3.7,1754
CERTE,3.4,1736
里山ガーデン,4.1,1729
ニューオータニイン横浜プレミアム,4.1,1723
横浜大世界,3.6,1718
ラウンド1,3.5,1709
APiTA横浜綱島,3.8,1705
ダイワロイネットホテル横浜公園,4.1,1691
横浜大飯店,4.1,1690
保土ヶ谷公園,4.0,1676
bills横浜赤レンガ倉庫,3.9,1671
ハマボウルEAS,3.8,1657
一蘭,3.9,1600
京急の森公園,4.2,1592
本牧市民公園,4.0,1577
フィールドアスレチック横浜つくし野コース,4.2,1573
野島公園,4.0,1563
三浦湯,3.9,1556
東京湾,3.9,1551
JR横浜タワー,4.0,1548
SKY SPA横浜,4.1,1546
La Vista新津田,3.5,1545
Apita戸塚,3.5,1531
幸福寺松原商店街,4.1,1490
Ito Yokado能見台店,3.6,1487
Camio,3.5,1478
一蘭,3.8,1469
横浜動物の森公園,4.3,1457
NYK氷川丸,4.3,1456
ホテル横浜キャメロットジャパン,3.6,1431
ベイタウン本牧5,3.6,1429
Ito Yokado鶴見店,3.5,1410
ポケモンセンター横浜,4.2,1404
原鉄道模型博物館,4.2,1398
イオン天王町,3.4,1389
町田商店横浜関内,3.7,1386
La Ohana,4.1,1338
Aeon Style東戸塚店,3.7,1298
スーパーホテル横浜関内,4.1,1288
行法寺,4.2,1279
YOKOHAMA UKAI-TEI,4.6,1275
ハングリータイガー,4.2,1268
町田商店横浜駅,3.7,1265
ホテルプラム横浜,3.8,1246
ホテルルートイン横浜馬車道,3.8,1243
シェーキーズ横浜西口,3.9,1242
(株)坂田種苗ガーデンセンター横浜,4.0,1236
ナビオス横浜,4.0,1235
コンフォートホテル横浜関内,3.7,1233
横浜元町商店街,4.0,1228
THE RIGOLETTO ocean club,3.9,1219
むさしの森珈琲 六ッ川店,3.9,1214
ホテルJALシティ関内横浜,4.0,1204
Across Plaza東神奈川,3.6,1201
SHAKE SHACKみなとみらい店,3.9,1196
丸亀製麺,3.6,1195
ザ・ノット横浜,3.9,1193
舞田公園,3.9,1192
アジアンバーRAMAI 横浜伊勢佐木モール店,4.4,1184
境川遊水地公園,3.9,1172
横浜伊勢佐木町ワシントンホテル,3.7,1169
ステーキライスの店 センタービーフ横浜関内本店,4.6,1161
マクドナルド,3.3,1136
若菜,4.0,1135
幸せの鐘,4.1,1133
スマートフォン病院横浜駅店,4.5,1130
満珍楼天津飯,4.3,1129
Cheruru野毛,3.4,1129
スーパーホテル新横浜,3.9,1127
SOGO美術館,4.1,1119
伊勢佐木モール,3.7,1118
ショッピングタウンITI,3.5,1117
朝熊,4.0,1345
APiTA金沢文庫,3.6,1344
金沢自然公園,4.2,1340
町田商店横浜関内,3.7,1265
鶴一家,3.6,1116
リッチモンドホテル横浜馬車道,4.0,1116
新横浜国際ホテル,3.6,1105
射天鬼,4.2,1096
NEWoMan横浜,4.0,1094
Coco'sレストラン,3.3,1094
ハイアットリージェンシー横浜,4.4,1093
クロスゲート,3.7,1091
ホテルエディット横浜,4.1,1061
CIAL PLAT東神奈川,3.5,1061
Eggs 'n Things,4.1,1054
桜木町駅,4.0,1050
ダイワロイネットホテル横浜関内,3.8,1047
TGI FRIDAYS横浜西口,3.9,1043
塩ラーメン本丸亭横浜,4.0,1036
神奈川県立歴史博物館,4.1,1033
北京ダック,3.8,1032
レンブラントスタイル横浜関内,3.6,1027
メレンゲ岸根公園,3.9,1023
鶏喰～TRICK～,4.3,1023
横浜英語の庭,4.2,1023
港の見える丘公園,4.4,1022
丸亀製麺横浜伊神店,3.7,1022
横浜博覧館,3.6,1021
赤レンガ公園,4.2,1013
倉木公園,4.1,1007
俺のフレンチ横浜,4.0,1006
上源郎,4.0,1003
龍舞,4.2,999
スターバックスコーヒー横浜鶴見,4.0,999
新横浜グレースホテル,3.9,997
ringram リングラム横浜元町店（よこはまもとまちてん） 手作りの結婚指輪・婚約指輪・ペアリング,5.0,996
ホテルマイステイズ横浜,3.6,994
メレンゲみなとみらい,4.1,989
SOTETSU Life,3.6,989
サウスウッド,3.6,986
丸亀製麺横浜旭支店,3.6,982
大珍楼,3.6,980
イオン駒岡店,3.4,979
武蔵の森コーヒー,4.0,977
MMテラス,3.7,966
プルラ杉田,3.5,959
相鉄ライフ泉野,3.5,957
イオンスタイル戸塚,3.6,955
横浜ビジネスパーク,3.6,952
帆訓練船日本丸,4.3,943
三菱みなとみらい産業博物館,4.1,943
天吉,4.0,940
SUNNY ISLE,3.6,928
へちかん,4.1,924
ナイキストア,3.6,919
HOTEL MYSTAYS横浜関内,4.0,917
熟成館新館,4.1,912
餃子の王将石川町,3.6,911
鼎泰豊横浜,4.0,911
マクドナルド山下公園,3.6,909
コートホテル新横浜,3.5,909
パイホリック,3.6,905
淡町公園,3.6,902
大さん橋客船ターミナル,4.4,902
長津田厚生総合病院,4.4,901
清水ケ丘公園,4.0,901
かに道楽,4.1,898
横浜市電保存館,4.3,897
牧ヶ原ちびっこ動物園,3.9,893
MOS BURGER関内店,3.8,881
東急プラザ戸塚,3.6,880
雲河公園,4.2,880
ホテルミエルパルク横浜,3.9,880
UNIQLO PARK（横浜ベイサイド）,4.0,877
本牧三丁目公園,4.1,876
ラーメン林田 - 横浜,4.1,873
スターバックスコーヒー横浜公園,4.0,873
諸岡熊野神社,4.3,871
阿夫利横浜ジョイナス,3.8,871
YOKOHAMA AIR CABIN桜木町駅,4.0,868
ブロンコビリーセヤ天店ステーキハウス,3.9,863
GUNDAM-DOCK TOWER,4.6,852
コメダ珈琲店（横浜枝店）,3.9,848
しゃぶよう新横浜,3.9,848
軌道道路散歩道,4.4,828
九州じゃんがら銀座,4.0,827
普加利三橋桟橋,3.9,824
PREMIERE YOKOHAMA,3.2,824
あざみ野うかい亭,4.6,824
リッチモンドホテル横浜駅前,4.3,823
A Happy Pancake the Yokohama,4.1,822
ジョナサン馬車道店,3.5,821
AEON TENNOCHO SHOPPING CENTER,3.9,820
舞岡公園,4.1,815
アクア＆ペットかねだい横浜店,3.8,812
マクドナルド,3.3,811
胡蝶,3.7,808
ムーニーズ,4.4,805
アルペンジロ本店,4.1,803
横浜関帝廟,4.2,803
ナムコ横浜ワールドポーターズ,3.4,798
大倉山公園,4.0,795
成田山横浜別院,4.1,790
新屋,4.3,785
